name,payroll,#-of-players,$-per-player,#-of-wins,$-per-win,#-of-runs,$-per-run,difference--of-payroll--to-avg,%-change--from-avg-payroll,%-change-from-avg-#-runs,%-change-from-avg--#--wins,%-change-of-wins-/-%-change--in-payroll,theoretic-%-change-from-avg-#-wins,theoretic--#-of-wins,%-error-of-theory,theoretical-2012-based-on-%-pre-error,theoretical-2012-based-on-%-post-error,theoretical-2012-based-on-average-$-per-win-
Colorado|Rockies-2012,"71,853,571.00",-,-,-,-,-,-,"2,735,950.86",0.04,-,0.02,-,-,-,-,81.35,70.94,84.42
Colorado|Rockies-AVG,"69,117,620.14",30.00,"2,332,818.48",81.33,"851,100.51",788.17,"88,028.96",-0.00,-0.56,-,-,0.57,-,-,14.67,-,-,-
Detroit|Tigers-2006,"85,198,456.00",31.00,"2,748,337.29",95.00,"896,825.85",822.00,"103,647.76","-30,007,142.43",-26.05,2.52,9.83,-0.38,-19.43,69.69,26.64,-,-,-
Detroit|Tigers-2007,"98,108,500.00",33.00,"2,972,984.85",88.00,"1,114,869.32",887.00,"110,607.10","-17,097,098.43",-14.84,10.62,1.73,-0.12,-11.07,76.92,12.59,-,-,-
Detroit|Tigers-2008,"137,785,833.00",29.00,"4,751,235.62",74.00,"1,861,970.72",821.00,"167,826.84","22,580,234.57",19.60,2.39,-14.45,-0.74,14.62,99.15,33.98,-,-,-
Detroit|Tigers-2009,"115,648,000.00",28.00,"4,130,285.71",86.00,"1,344,744.19",743.00,"155,650.07","442,401.57",0.38,-7.34,-0.58,-1.51,0.29,86.75,0.87,-,-,-
Detroit|Tigers-2010,"135,170,400.00",30.00,"4,505,680.00",81.00,"1,668,770.37",751.00,"179,987.22","19,964,801.57",17.33,-6.34,-6.36,-0.37,12.93,97.68,20.59,-,-,-
Detroit|Tigers-2011,"106,953,000.00",28.00,"3,819,750.00",95.00,"1,125,821.05",787.00,"135,899.62","-8,252,598.43",-7.16,-1.85,9.83,-1.37,-5.34,81.88,13.81,-,-,-
Detroit|Tigers-2012,"127,575,000.00",-,-,-,-,-,-,"12,369,401.57",0.11,-,0.08,-,-,-,-,86.57,73.31,95.53
Detroit|Tigers-AVG,"115,205,598.43",29.83,"3,821,378.91",86.50,"1,335,500.25",801.83,"142,269.77",-0.00,-1.52,-,-,0.75,-,-,18.08,-,-,-
Florida|Marlins-2006,"16,960,500.00",32.00,"530,015.63",78.00,"217,442.31",758.00,"22,375.33","-27,453,520.71",-61.81,2.57,-0.85,0.01,-5.00,74.74,4.18,-,-,-
Florida|Marlins-2007,"31,257,000.00",33.00,"947,181.82",71.00,"440,239.44",790.00,"39,565.82","-13,157,020.71",-29.62,6.90,-9.75,0.33,-2.39,76.78,8.14,-,-,-
Florida|Marlins-2008,"25,079,000.00",39.00,"643,051.28",84.00,"298,559.52",770.00,"32,570.13","-19,335,020.71",-43.53,4.19,6.78,-0.16,-3.52,75.90,9.64,-,-,-
Florida|Marlins-2009,"37,041,926.00",30.00,"1,234,730.87",87.00,"425,769.26",772.00,"47,981.77","-7,372,094.71",-16.60,4.47,10.59,-0.64,-1.34,77.61,10.79,-,-,-
Florida|Marlins-2010,"47,429,719.00",27.00,"1,756,656.26",80.00,"592,871.49",719.00,"65,966.23","3,015,698.29",6.79,-2.71,1.69,0.25,0.55,79.10,1.13,-,-,-
Florida|Marlins-2011,"57,695,000.00",27.00,"2,136,851.85",72.00,"801,319.44",625.00,"92,312.00","13,280,979.29",29.90,-15.43,-8.47,-0.28,2.42,80.57,11.90,-,-,-
Florida|Marlins-2012,"95,435,000.00",-,-,-,-,-,-,"51,020,979.29",1.15,-,0.09,-,-,-,-,78.74,73.16,206.26
Florida|Marlins-AVG,"44,414,020.71",31.33,"1,208,081.28",78.67,"462,700.24",739.00,"50,128.55",-0.00,-16.25,-,-,0.08,-,-,7.63,-,-,-
